Petersham,MA,  43 
Phillipston,MA,  69 
Pittsfield,MA,"  3,539 "
Plainfield,MA,  25 
Plainville,MA,  434 
Plymouth,MA,"  1,793 "
Plympton,MA,  37 
Princeton,MA,  107 
Provincetown,MA,  187 
Quincy,MA,"  5,214 "
Randolph,MA,"  3,798 "
Raynham,MA,  448 
Reading,MA,  688 
Rehoboth,MA,  319 
Revere,MA,"  23,175 "
Richmond,MA,  39 
Rochester,MA,  94 
Rockland,MA,  611 
Rockport,MA,  172 
Rowe,MA,  10 
Rowley,MA,  135 
Royalston,MA,  16 
Russell,MA,  60 
Rutland,MA,  390 
Salem,MA,"  8,785 "
Salisbury,MA,  274 
Sandisfield,MA,  19 
Sandwich,MA,  480 
Saugus,MA,"  2,601 "
Savoy,MA,  8 
Scituate,MA,  300 
Seekonk,MA,  558 
Sharon,MA,  604 
Sheffield,MA,  170 
Shelburne,MA,  55 
Sherborn,MA,  149 
Shirley,MA,  780 
Shrewsbury,MA,"  1,610 "
Shutesbury,MA,  85 
Somerset,MA,  434 
Somerville,MA,"  9,159 "
South Hadley,MA,"  1,307 "
Southampton,MA,  206 
Southborough,MA,  373 
Southbridge,MA,"  6,409 "
Southwick,MA,  325 
Spencer,MA,  989 
Springfield,MA,"  72,874 "
Sterling,MA,  297 
Stockbridge,MA,  90 
Stoneham,MA,  980 
Stoughton,MA,"  1,924 "
Stow,MA,  259 
Sturbridge,MA,  424 
Sudbury,MA,  687 
Sunderland,MA,  208 
Sutton,MA,  253 
Swampscott,MA,"  1,002 "
Swansea,MA,  376 
Taunton,MA,"  4,717 "
Templeton,MA,  293 
Tewksbury,MA,"  1,251 "
Tisbury,MA,  153 
Tolland,MA,  9 
Topsfield,MA,  270 
Townsend,MA,  401 
Truro,MA,  66 
Tyngsborough,MA,  561 
Tyringham,MA,  12 
Upton,MA,  279 
Uxbridge,MA,  452 
Wakefield,MA,"  1,146 "
Wales,MA,  41 
Walpole,MA,"  1,116 "
Waltham,MA,"  10,719 "
Ware,MA,  770 
Wareham,MA,  741 
Warren,MA,  215 
Warwick,MA,  21 
Washington,MA,  15 
Watertown,MA,"  2,718 "
Wayland,MA,  541 
Webster,MA,"  2,479 "
Wellesley,MA,"  1,523 "
Wellfleet,MA,  77 
Wendell,MA,  27 
Wenham,MA,  227 
West Boylston,MA,  583 
West Bridgewater,MA,  251 
West Brookfield,MA,  123 
West Newbury,MA,  144 
West Springfield,MA,"  4,020 "
West Stockbridge,MA,  46 
West Tisbury,MA,  53 
Westborough,MA,"  1,294 "
Westfield,MA,"  3,942 "
Westford,MA,  633 
Westhampton,MA,  46 
Westminster,MA,  357 
Weston,MA,  486 
Westport,MA,  334 
Westwood,MA,  464 
Weymouth,MA,"  2,564 "
Whately,MA,  40 
Whitman,MA,  538 
Wilbraham,MA,  784 
Williamsburg,MA,  76 
Williamstown,MA,  462 
Wilmington,MA,  694 
Winchendon,MA,  575 
Winchester,MA,  773 
Windsor,MA,  19 
Winthrop,MA,"  2,413 "
Woburn,MA,"  2,602 "
Worcester,MA,"  50,736 "
Worthington,MA,  30 
Wrentham,MA,  307 
Yarmouth,MA,"  1,147 "
Waterford,CT,744
New London,CT,8226
Mystic,CT,94
Groton,CT,1243
